"codigo_viagem";"empresa";"nu_linha";"onibus";"tipo_viagem";"sentido_linha";"in_transbordo";"origem";"origem_uf";"destino";"destino_uf";"lat";"lon";"pdop";"data_viagem_programada";"data_inicio_viagem";"data_fim_viagem"
"82c4803c";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738857;-43,374561;0;2019-01-02 12:30:00;2019-01-02 12:31:13;2019-01-02 02:09:24
"1bcdd186";"7980c0ae";"83ed87ea";"0f28b213";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,11629;-43,200601;0;2019-01-02 13:30:00;2019-01-02 01:30:29;2019-01-02 03:30:11
"ebb545f2";"7980c0ae";"83ed87ea";"0f28b213";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116136;-43,198234;0;2019-01-02 16:15:00;2019-01-02 04:15:53;2019-01-02 06:16:46
"ecd881eb";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7359991;-43,3948458;0;2019-01-02 17:15:00;2019-01-02 05:12:14;2019-01-02 07:02:28
"02d6e0c7";"7980c0ae";"83ed87ea";"0f28b213";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738242;-43,373224;0;2019-01-02 18:45:00;2019-01-02 06:46:01;2019-01-02 08:37:04
"a4f4d335";"7980c0ae";"83ed87ea";"0f28b213";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,115931;-43,19823;0;2019-01-02 20:30:00;2019-01-02 08:42:43;2019-01-02 10:15:51
"d49e27ba";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7358945;-43,3950339;0;2019-01-02 22:30:00;2019-01-02 10:26:23;2019-01-03 12:08:36
"a399172c";"7980c0ae";"83ed87ea";"a70775bd";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738739;-43,374166;0;2019-01-03 05:30:00;2019-01-03 05:30:27;2019-01-03 06:56:11
"bdefe274";"7980c0ae";"83ed87ea";"a70775bd";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116152;-43,198239;0;2019-01-03 07:30:00;2019-01-03 07:29:34;2019-01-03 08:59:10
"24e6b3ce";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116142;-43,19823;0;2019-01-03 07:30:00;2019-01-03 05:32:02;2019-01-03 07:31:48
"cd8516fb";"7980c0ae";"83ed87ea";"0f28b213";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,155248;-43,290736;0;2019-01-03 08:45:00;2019-01-03 08:15:54;2019-01-03 11:16:03
"c4335ad0";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116088;-43,19825;0;2019-01-03 10:30:00;2019-01-03 10:30:04;2019-01-03 12:11:34
"e1c58121";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738716;-43,374207;0;2019-01-03 12:30:00;2019-01-03 12:31:33;2019-01-03 02:20:56
"0fcbe00d";"7980c0ae";"83ed87ea";"a70775bd";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116437;-43,200528;0;2019-01-03 13:30:00;2019-01-03 01:33:03;2019-01-03 03:18:06
"08a62414";"7980c0ae";"83ed87ea";"a70775bd";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116085;-43,198178;0;2019-01-03 16:15:00;2019-01-03 04:17:07;2019-01-03 06:04:33
"98193985";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7360197;-43,3948661;0;2019-01-03 17:15:00;2019-01-03 05:14:53;2019-01-03 07:02:58
"61d7e1da";"7980c0ae";"83ed87ea";"a70775bd";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,11457;-43,205535;0;2019-01-03 20:30:00;2019-01-03 08:47:53;2019-01-03 10:30:19
"ffb37479";"7980c0ae";"83ed87ea";"651283f4";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,1161355;-43,1982375;0;2019-01-03 20:30:00;2019-01-03 08:34:36;2019-01-03 10:06:39
"66ba25c3";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7357639;-43,3947675;0;2019-01-03 22:30:00;2019-01-03 10:30:03;2019-01-03 11:54:52
"d9a51723";"51c1ab4e";"fe7f4220";"73f71140";"regular";"volta";"não";"RAUL SOARES";"MG";"SAO PAULO";"SP";-23,5111755;-46,6025807;1;2019-01-05 18:00:00;2019-01-05 07:29:30;2019-01-06 11:05:45
"576cffea";"51c1ab4e";"fe7f4220";"085717a5";"regular";"ida";"não";"RAUL SOARES";"MG";"SAO PAULO";"SP";-20,1194417;-42,4596817;1;2019-01-05 20:15:00;2019-01-05 10:13:42;2019-01-06 01:15:39
"b1308889";"51c1ab4e";"fe7f4220";"085717a5";"regular";"volta";"não";"RAUL SOARES";"MG";"SAO PAULO";"SP";-23,516924;-46,6236186;2,7;2019-01-06 18:00:00;2019-01-06 07:28:04;2019-01-07 11:15:35
"cf81f434";"51c1ab4e";"fe7f4220";"73f71140";"regular";"ida";"não";"RAUL SOARES";"MG";"SAO PAULO";"SP";-20,1018199;-42,4539281;1,4;2019-01-06 20:15:00;2019-01-06 09:58:54;2019-01-07 02:59:27
"82393a70";"808be8bd";"799106c9";"9b43ad22";"regular";"volta";"não";"FORTALEZA";"CE";"SAO LUIS";"MA";-2,562938;-44,244733;0,65;2019-01-05 22:00:00;2019-01-06 01:07:23;2019-01-06 07:52:25
"b7629ceb";"808be8bd";"085df4b4";"0dc007d2";"regular";"ida";"não";"FORTALEZA";"CE";"RECIFE";"PE";-3,757431;-38,530443;0,84;2019-01-06 22:30:00;2019-01-07 01:33:09;2019-01-07 01:24:45
"596cfdc7";"808be8bd";"7149959a";"2bd09910";"regular";"volta";"não";"FORTALEZA";"CE";"SAO LUIS";"MA";-2,53682;-44,227548;0,66;2019-01-06 22:30:00;2019-01-07 01:44:21;2019-01-07 09:40:55
"db94962a";"808be8bd";"b46cef63";"0b0b65f8";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-5,819643;-35,23542;0,63;2019-01-07 21:15:00;2019-01-08 12:29:45;2019-01-08 09:27:48
